,bhk,price,size,location
234,2,46.55,1058,HATIGAON
235,2,36.0,900,BHETAPARA
236,3,77.5,1550,VIP ROAD
237,2,42.57,990,SIX MILE
238,2,39.23,853,JALUKBARI
239,3,69.43,1310,DOWNTOWN
240,3,64.13,1210,DOWNTOWN
241,3,58.95,1310,KAHILIPARA
242,3,58.95,1310,KAHILIPARA
243,3,58.5,1300,KAHILIPARA
244,3,77.91,1590,SIX MILE
245,2,44.1,900,ADABARI
246,3,90.0,1500,DIGHALIPUKHURI
247,3,54.45,1210,KAHILIPARA
248,3,54.0,1200,KAHILIPARA
249,3,60.0,1300,KAHILIPARA ROAD
250,3,57.2,1300,BAMUNIMAIDAM
251,3,45.75,1250,KERAKUCHI
252,2,49.8,1200,SAWKUCHI
253,2,36.31,995,KERAKUCHI
254,3,55.76,1360,AHOM GAON
255,3,46.0,1260,AHOM GAON
256,2,38.0,1050,AHOM GAON
257,3,114.99999999999999,2100,KAHILIPARA
258,3,55.61,1264,BAMUNIMAIDAM
259,1,31.6,800,SIX MILE
260,2,55.0,1050,DISPUR
261,3,98.53,1670,BELTOLA
262,3,97.35,1650,BELTOLA
263,3,60.95,1150,DOWNTOWN
264,3,79.0,1580,LOKHRA
265,4,119.0,2300,PANJABARI ROAD
266,4,145.0,2350,RADHA NAGAR
267,2,62.5,1250,SIX MILE
268,3,117.0,1563,JAYANAGAR
269,3,51.6,1200,ZOO ROAD
270,3,44.73,1209,PANJABARI ROAD
271,2,52.8,1100,DOWNTOWN
272,3,72.0,1300,HATIGAON
273,3,67.5,1350,KAHILIPARA
274,2,39.23,853,JALUKBARI
275,2,42.57,990,SIX MILE
276,3,61.87,1375,SIX MILE
277,3,78.1,1502,HATIGAON
278,3,62.1,1350,HATIGAON
279,3,51.15,1044,VIP ROAD
280,3,67.2,1200,CHRISTIAN BASTI
281,3,110.00000000000001,2014,ABC GALI
282,3,59.85,1151,LACHIT NAGAR
283,3,67.44,1297,LACHIT NAGAR
284,3,74.1,1425,LACHIT NAGAR
